22 10:55:41.187 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 57600 where issue = 17129 and customfield = 10601
22 10:55:41.188 | INFO  | main  | EvStatJDBCTemplate$1:81    | CEP2, pkey=CEPB-221, ratio=1.1, pv=0.0, timeoriginal=86400
22 10:55:41.188 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 86400 where issue = 17176 and customfield = 10601
22 10:55:41.189 | INFO  | main  | EvStatJDBCTemplate$1:81    | CEP2, pkey=CEPB-2, ratio=0.0, pv=0.0, timeoriginal=0
22 10:55:41.189 | INFO  | main  | EvStatJDBCTemplate$1:93    | ALL NULL, issue id 14363, CEPB-2, pv=0.0, 0
22 10:55:41.190 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-143, ratio=0.9, pv=0.0, timeoriginal=14400
22 10:55:41.190 | INFO  | main  | EvStatJDBCTemplate$1:84    | timeoriginalestimate->pv:2:insert into customfieldvalue(id, issue, customfield, numbervalue) values(16000, 17206, 10601, 0.5);
22 10:55:41.190 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 14400 where issue = 17206 and customfield = 10601
22 10:55:41.190 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-147, ratio=1.1, pv=0.0, timeoriginal=28800
22 10:55:41.191 | INFO  | main  | EvStatJDBCTemplate$1:84    | timeoriginalestimate->pv:2:insert into customfieldvalue(id, issue, customfield, numbervalue) values(16001, 17210, 10601, 1.0);
22 10:55:41.191 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 28800 where issue = 17210 and customfield = 10601
22 10:55:41.191 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-140, ratio=0.9, pv=0.0, timeoriginal=57600
22 10:55:41.191 | INFO  | main  | EvStatJDBCTemplate$1:84    | timeoriginalestimate->pv:2:insert into customfieldvalue(id, issue, customfield, numbervalue) values(16002, 17203, 10601, 2.0);
22 10:55:41.192 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 57600 where issue = 17203 and customfield = 10601
22 10:55:41.192 | INFO  | main  | EvStatJDBCTemplate$1:81    | FSC2, pkey=FSCB-14, ratio=1.1, pv=0.0, timeoriginal=28800
22 10:55:41.192 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 28800 where issue = 17200 and customfield = 10601
22 10:55:41.193 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-142, ratio=0.9, pv=0.0, timeoriginal=14400
22 10:55:41.193 | INFO  | main  | EvStatJDBCTemplate$1:84    | timeoriginalestimate->pv:2:insert into customfieldvalue(id, issue, customfield, numbervalue) values(16003, 17205, 10601, 0.5);
22 10:55:41.193 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 14400 where issue = 17205 and customfield = 10601
22 10:55:41.194 | INFO  | main  | EvStatJDBCTemplate$1:81    | CEP2, pkey=CEPB-215, ratio=0.0, pv=0.0, timeoriginal=86400
22 10:55:41.194 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 86400 where issue = 17131 and customfield = 10601
22 10:55:41.194 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-53, ratio=0.0, pv=0.0, timeoriginal=57600
22 10:55:41.195 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 57600 where issue = 16865 and customfield = 10601
22 10:55:41.200 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-149, ratio=1.2, pv=0.0, timeoriginal=172800
22 10:55:41.200 | INFO  | main  | EvStatJDBCTemplate$1:84    | timeoriginalestimate->pv:2:insert into customfieldvalue(id, issue, customfield, numbervalue) values(16004, 17216, 10601, 6.0);
22 10:55:41.200 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 172800 where issue = 17216 and customfield = 10601
22 10:55:41.201 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-139, ratio=0.9, pv=0.0, timeoriginal=28800
22 10:55:41.201 | INFO  | main  | EvStatJDBCTemplate$1:84    | timeoriginalestimate->pv:2:insert into customfieldvalue(id, issue, customfield, numbervalue) values(16005, 17202, 10601, 1.0);
22 10:55:41.201 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 28800 where issue = 17202 and customfield = 10601
22 10:55:41.201 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-151, ratio=1.1, pv=0.0, timeoriginal=28800
22 10:55:41.201 | INFO  | main  | EvStatJDBCTemplate$1:84    | timeoriginalestimate->pv:2:insert into customfieldvalue(id, issue, customfield, numbervalue) values(16006, 17227, 10601, 1.0);
22 10:55:41.202 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 28800 where issue = 17227 and customfield = 10601
22 10:55:41.202 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-152, ratio=1.2, pv=0.0, timeoriginal=57600
22 10:55:41.202 | INFO  | main  | EvStatJDBCTemplate$1:84    | timeoriginalestimate->pv:2:insert into customfieldvalue(id, issue, customfield, numbervalue) values(16007, 17228, 10601, 2.0);
22 10:55:41.202 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 57600 where issue = 17228 and customfield = 10601
22 10:55:41.203 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-153, ratio=1.2, pv=0.0, timeoriginal=28800
22 10:55:41.203 | INFO  | main  | EvStatJDBCTemplate$1:84    | timeoriginalestimate->pv:2:insert into customfieldvalue(id, issue, customfield, numbervalue) values(16008, 17229, 10601, 1.0);
22 10:55:41.203 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 28800 where issue = 17229 and customfield = 10601
22 10:55:41.203 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-148, ratio=0.9, pv=0.0, timeoriginal=57600
22 10:55:41.204 | INFO  | main  | EvStatJDBCTemplate$1:84    | timeoriginalestimate->pv:2:insert into customfieldvalue(id, issue, customfield, numbervalue) values(16009, 17211, 10601, 2.0);
22 10:55:41.204 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 57600 where issue = 17211 and customfield = 10601
22 10:55:41.204 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-111, ratio=0.0, pv=0.0, timeoriginal=50400
22 10:55:41.205 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 50400 where issue = 17113 and customfield = 10601
22 10:55:41.205 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-103, ratio=0.0, pv=0.0, timeoriginal=28800
22 10:55:41.205 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 28800 where issue = 17029 and customfield = 10601
